longitude,latitude,NDVI
108.4080358851218,-7.03084426809074,0.7156617838782166
108.72539828854146,-7.504191504214553,0.8291006935806917
108.41753063259675,-7.27341597702148,0.45713585599746737
108.54532636084058,-7.0837598364368475,0.8746034210726515
108.67969787385829,-7.271666597608264,0.7312253045906143
108.21407218997962,-7.478847945850365,0.8765993769846776
108.79384942453616,-7.537723540881051,0.481243303061989
108.73480269854875,-7.507681612490217,0.490639120073463
108.71047750464943,-7.37031146932648,0.7014506341413063
108.68617444690084,-7.563696683838964,0.8973970153543339
108.54894357506583,-7.175334646459764,0.8176076802281976
108.21335845114794,-7.688713437744121,0.8857585971772073
108.51163977422638,-7.1652335929519335,0.6236323787409127
108.69646400700753,-7.319056985224903,0.7019287118368951
108.395787652798,-7.778936580990043,0.770433768984896
108.83711742137837,-7.235922695078693,0.8416085286860462
108.37387821037288,-7.354514437724927,0.8615255651974413
108.26671970703035,-7.570631852294438,0.5588349490966207
108.95020989079973,-7.7397558008914205,0.9140955810466758
108.1487542784291,-7.689352569541764,0.8925163193581903
109.05875380780226,-7.106428007555144,0.8132147394043789
108.60334293093672,-7.6166904448222095,0.8982722455628489
108.67081474258833,-7.054048860491103,0.7769123821080376
108.41517873186586,-7.410126328011289,0.8832608421063691
108.60022479919091,-7.647373688406383,0.8166211489079837
108.43342761911283,-7.124798170608971,0.8815523671375437
108.81291229086744,-7.718063324439082,0.8931072626300045
108.66638558366306,-7.726173851106166,0.8606816237083198
108.82866574319114,-7.14441484105782,0.9
108.79108686395826,-7.1307604884463185,0.8690067371424206
108.3663142794708,-7.759870188433188,0.7604949187156654
109.00049127372037,-7.647198193847667,0.6128033048727833
108.99041681381364,-7.6045284153185095,0.4808743066502625
108.82929228830686,-7.700130558475096,0.9226750262453294
108.1387207350924,-7.562214434021386,0.807997880846448
108.29223023997329,-7.05287053670034,0.9004646650373085
108.60827355170537,-7.351642607001088,0.8094383538133508
108.17324375757545,-7.191776228694633,0.7435197896578142
108.48597740312441,-7.207951176989594,0.5516528948943716
108.5343535797064,-7.678894927003094,0.5597170081593624
108.3940303387702,-7.389616905441715,0.8962798995767636
108.90524395485585,-7.294754946614443,0.8649133279110283
108.53622337380007,-7.205827049750273,0.44847395258348943
108.80915464056976,-7.663846195542867,0.8506559069308982
108.87141737418176,-7.336465258220664,0.8676222612391772
109.04731406626962,-7.582492576953353,0.7396745970539776
108.53210483105418,-7.148367031344649,0.8666860371659427
108.84136095563521,-7.613626570775613,0.3530527066572705
108.88499756671554,-7.352234438136582,0.7817091423659248
108.74023970312068,-7.561956296897743,0.8124672591803894
108.16930202636753,-7.096973695985225,0.8758095197872239
108.86398050265963,-7.660319624614803,0.9076034617125183
108.73380855174499,-7.605064904365419,0.631194146179966
108.36109902230307,-7.402316569977833,0.824027994696566
108.44065849363498,-7.199413823422017,0.801623623920382
108.31377141928786,-7.241780137889835,0.8327282883561492
108.48962926791974,-7.3493398228387985,0.8367185944658245
108.62578963824095,-7.430370265425988,0.6592972787791613
108.39885517412634,-7.634614115245348,0.8391915569993401
108.99196470206563,-7.687732620184444,0.923879331480734
108.26764417387507,-7.613679062528101,0.4512803266441557
108.50129558003981,-7.755322225729255,0.8578347922396158
108.42350012318681,-7.092263401476619,0.8512744793641828
108.89492601518253,-7.6005216821001875,0.7606050449889766
109.03645171573315,-7.033043176772186,0.653830557365349
108.35765073934236,-7.770896224487186,0.8298270193104049
108.67312980329093,-7.295961060501459,0.7256124742299518
108.98891407085885,-7.5431644781189355,0.8745158823969633
108.23433755816586,-7.608017042964352,0.5066530049810856
108.53157673752087,-7.457692186916895,0.6883700046105278
108.30519996598726,-7.565717643369568,0.39689950027332044
108.96221527427483,-7.123038670199696,0.8060941738051727
108.37847673512272,-7.176872162218807,0.6621920464109093
